inf 3.091121535765367079e-01 6.209567165949304579e-01 7.561257845300434211e-01 9.544592160820667415e-01 6.933543496004817008e-01 3.570282663338495421e-01 1.217504049709432212e-01 8.830026992347471682e-01 9.313506954005615901e-01 7.216654360547738456e-01 4.783735541824067905e-01
3.091121535765367079e-01 inf 7.193639745061559676e-01 5.612612162030454765e-01 6.833699067899287050e-01 6.962412103933584007e-01 4.311930913334577342e-01 2.750184330613757999e-01 7.194655028400670504e-01 6.245162386037881319e-01 4.125772004453619468e-01 4.875923298515985604e-01
6.209567165949304579e-01 7.193639745061559676e-01 inf 6.401519093331852206e-01 9.599258988915834179e-01 2.151620736165503200e-01 2.915170801830987979e-01 5.229562404561888256e-01 6.391247837668802001e-01 1.214986730551084415e+00 9.913876936725717348e-01 2.557940717089663418e-01
7.561257845300434211e-01 5.612612162030454765e-01 6.401519093331852206e-01 inf 3.225099421857807180e-01 4.586590098945517724e-01 5.300460133080984182e-01 6.443168539983321619e-01 1.703191362131120934e-01 6.890956194348746289e-01 5.132350464146495650e-01 4.314723315117247604e-01
9.544592160820667415e-01 6.833699067899287050e-01 9.599258988915834179e-01 3.225099421857807180e-01 inf 7.808940009073598310e-01 8.134715918273554003e-01 8.627070225557560423e-01 4.067100880870307411e-01 4.818412845171717862e-01 4.085982386802235466e-01 7.360158312345861376e-01
6.933543496004817008e-01 6.962412103933584007e-01 2.151620736165503200e-01 4.586590098945517724e-01 7.808940009073598310e-01 inf 3.371160014995870924e-01 5.767170341589050730e-01 4.305065512632571534e-01 1.094927042536776085e+00 8.824087279542438544e-01 2.201197488328135721e-01
3.570282663338495421e-01 4.311930913334577342e-01 2.915170801830987979e-01 5.300460133080984182e-01 8.134715918273554003e-01 3.371160014995870924e-01 inf 2.439723726674093152e-01 6.067492601899701077e-01 9.740157149059250896e-01 7.462570407223900748e-01 1.324405552364157634e-01
1.217504049709432212e-01 2.750184330613757999e-01 5.229562404561888256e-01 6.443168539983321619e-01 8.627070225557560423e-01 5.767170341589050730e-01 2.439723726674093152e-01 inf 7.651109967668019429e-01 8.933330772096771399e-01 6.730972891885640408e-01 3.593213449013011873e-01
8.830026992347471682e-01 7.194655028400670504e-01 6.391247837668802001e-01 1.703191362131120934e-01 4.067100880870307411e-01 4.305065512632571534e-01 6.067492601899701077e-01 7.651109967668019429e-01 inf 8.355873397014897952e-01 6.757042463107402197e-01 4.859105803349140218e-01
9.313506954005615901e-01 6.245162386037881319e-01 1.214986730551084415e+00 6.890956194348746289e-01 4.818412845171717862e-01 1.094927042536776085e+00 9.740157149059250896e-01 8.933330772096771399e-01 8.355873397014897952e-01 inf 2.278398569629580539e-01 9.596834136436910301e-01
7.216654360547738456e-01 4.125772004453619468e-01 9.913876936725717348e-01 5.132350464146495650e-01 4.085982386802235466e-01 8.824087279542438544e-01 7.462570407223900748e-01 6.730972891885640408e-01 6.757042463107402197e-01 2.278398569629580539e-01 inf 7.356333552101642637e-01
4.783735541824067905e-01 4.875923298515985604e-01 2.557940717089663418e-01 4.314723315117247604e-01 7.360158312345861376e-01 2.201197488328135721e-01 1.324405552364157634e-01 3.593213449013011873e-01 4.859105803349140218e-01 9.596834136436910301e-01 7.356333552101642637e-01 inf
