inf 6.870361170353610492e-01 2.632064163387888844e-01 7.257430880945744400e-01 4.443242319383154948e-01 8.159516693219368566e-01 8.237899462032691744e-01 5.896087547432407039e-01 6.385309894910125017e-01 4.829410680786840326e-01
6.870361170353610492e-01 inf 4.606114695827327465e-01 8.019974217269943972e-01 6.397370189968002441e-01 6.682855487023093843e-01 2.777946710747153380e-01 2.506235002711592608e-01 3.000411746044369665e-01 2.215845394799136336e-01
2.632064163387888844e-01 4.606114695827327465e-01 inf 5.692811769018550905e-01 2.971292591351293311e-01 5.948904665569900718e-01 6.562524671545858501e-01 4.460346650283366632e-01 5.122283261800374410e-01 2.991430983022782542e-01
7.257430880945744400e-01 8.019974217269943972e-01 5.692811769018550905e-01 inf 2.846816774920555848e-01 2.468680860253709419e-01 1.074924305694494819e+00 9.351966119777701536e-01 1.007139033894054458e+00 7.814460512745604603e-01
4.443242319383154948e-01 6.397370189968002441e-01 2.971292591351293311e-01 2.846816774920555848e-01 inf 3.952575086152632089e-01 8.889835710790646717e-01 7.110481319048552740e-01 7.817743703216732953e-01 5.548084125802337230e-01
8.159516693219368566e-01 6.682855487023093843e-01 5.948904665569900718e-01 2.468680860253709419e-01 3.952575086152632089e-01 inf 9.456396499790902244e-01 8.541537476658644934e-01 9.234689103526124709e-01 7.150453067089915793e-01
8.237899462032691744e-01 2.777946710747153380e-01 6.562524671545858501e-01 1.074924305694494819e+00 8.889835710790646717e-01 9.456396499790902244e-01 inf 2.360043305221903309e-01 2.072022325639650830e-01 3.578247898917033543e-01
5.896087547432407039e-01 2.506235002711592608e-01 4.460346650283366632e-01 9.351966119777701536e-01 7.110481319048552740e-01 8.541537476658644934e-01 2.360043305221903309e-01 inf 7.195754670666246189e-02 1.564498031159971825e-01
6.385309894910125017e-01 3.000411746044369665e-01 5.122283261800374410e-01 1.007139033894054458e+00 7.817743703216732953e-01 9.234689103526124709e-01 2.072022325639650830e-01 7.195754670666246189e-02 inf 2.278636381562149649e-01
4.829410680786840326e-01 2.215845394799136336e-01 2.991430983022782542e-01 7.814460512745604603e-01 5.548084125802337230e-01 7.150453067089915793e-01 3.578247898917033543e-01 1.564498031159971825e-01 2.278636381562149649e-01 inf
