inf 3.604174283939549084e-01 8.107170139107006124e-01 6.489106954774943592e-01 5.671878246403270207e-01 8.618077324286453900e-01 9.368910355256011568e-01 1.076958019285110923e+00 8.742521375167598974e-01 6.213203537637430607e-01 7.718168901855861908e-01 1.321688518029550674e-01 8.817470433682104147e-01 5.277987034428968105e-01 1.271074372592587709e-01 3.595340261137500160e-01
3.604174283939549084e-01 inf 5.151088458921704305e-01 3.567726358566581935e-01 3.882195809627471128e-01 5.624470308292048859e-01 5.827409778418636277e-01 7.664071006032376898e-01 5.995941643301127000e-01 4.485248620206396808e-01 4.262135741188728955e-01 2.565671276994916372e-01 5.730442238498304475e-01 3.354873488001575699e-01 2.348570215767947222e-01 2.383987019708429245e-01
8.107170139107006124e-01 5.151088458921704305e-01 inf 6.542247227725203063e-01 8.092714487654955047e-01 5.130429050764502563e-02 5.414761126426391735e-01 8.609452987881225372e-01 9.932789321011775696e-02 8.565684467780931843e-01 5.279621565976482245e-01 6.790104434577642900e-01 7.329968142146635612e-01 7.639375939065194965e-01 7.088618817934726479e-01 7.376520108028050693e-01
6.489106954774943592e-01 3.567726358566581935e-01 6.542247227725203063e-01 inf 2.022994518146049026e-01 6.837898794465548935e-01 3.659876967169387596e-01 4.280524748268439428e-01 7.535169739525188204e-01 2.252721884031699262e-01 2.013916384445283148e-01 5.857930537394088200e-01 2.330225312909344482e-01 1.861396347733298429e-01 5.293648322344638446e-01 3.111848302772462493e-01
5.671878246403270207e-01 3.882195809627471128e-01 8.092714487654955047e-01 2.022994518146049026e-01 inf 8.454800886245917857e-01 5.661024032341175349e-01 5.619438853432917602e-01 9.066982134219830902e-01 6.109581391701563585e-02 4.036589323897735726e-01 5.451860190884747492e-01 3.863505304979066857e-01 5.274034420444253385e-02 4.693967891194645303e-01 2.099602799071466075e-01
8.618077324286453900e-01 5.624470308292048859e-01 5.130429050764502563e-02 6.837898794465548935e-01 8.454800886245917857e-01 inf 5.433276090069921738e-01 8.664379209947639104e-01 8.449132815526995410e-02 8.910406810127291521e-01 5.460262568957856555e-01 7.301650775144609140e-01 7.480468418402862474e-01 8.013869939326466740e-01 7.592638972377248052e-01 7.817648888643308203e-01
9.368910355256011568e-01 5.827409778418636277e-01 5.414761126426391735e-01 3.659876967169387596e-01 5.661024032341175349e-01 5.433276090069921738e-01 inf 3.251817425389599836e-01 6.276275363681457220e-01 5.772614167078264913e-01 1.740207133230754488e-01 8.392154758420127258e-01 2.581652968210171317e-01 5.517689263830201085e-01 8.098160057125995959e-01 6.520352012278876064e-01
1.076958019285110923e+00 7.664071006032376898e-01 8.609452987881225372e-01 4.280524748268439428e-01 5.619438853432917602e-01 8.664379209947639104e-01 3.251817425389599836e-01 inf 9.503208774207884124e-01 5.379625934294229861e-01 3.691800005642262850e-01 1.009738594685489987e+00 1.957447400394865533e-01 5.779741349397794492e-01 9.568800745476451208e-01 7.321054838692550026e-01
8.742521375167598974e-01 5.995941643301127000e-01 9.932789321011775696e-02 7.535169739525188204e-01 9.066982134219830902e-01 8.449132815526995410e-02 6.276275363681457220e-01 9.503208774207884124e-01 inf 9.547428366971897340e-01 6.249090633468812328e-01 7.420989206995345366e-01 8.286822406739524638e-01 8.607034134036262163e-01 7.798402835820419376e-01 8.276834200983003154e-01
6.213203537637430607e-01 4.485248620206396808e-01 8.565684467780931843e-01 2.252721884031699262e-01 6.109581391701563585e-02 8.910406810127291521e-01 5.772614167078264913e-01 5.379625934294229861e-01 9.547428366971897340e-01 inf 4.235865603388535017e-01 6.042646776302548206e-01 3.748302410977015220e-01 1.133282653317253252e-01 5.272241927551898355e-01 2.675042101281624451e-01
