inf 1.116638818442921288e-01 4.763950256200765732e-01 4.925228170917719250e-01 8.989430340359366722e-01 1.783395955748333928e-01 1.397224525485248892e-01 4.746212190149937671e-01 1.698306142219151715e-01 4.527238673660927137e-01 6.385555508951205050e-01 2.850825722236098314e-01 2.295749968649087036e-01 7.532057252846302564e-02 3.323664190799555662e-01 8.187458761947307151e-01 2.894490264345092045e-01 5.798746730641367586e-01 4.134976582914121068e-01
1.116638818442921288e-01 inf 3.900426212323317432e-01 4.320005888297872021e-01 7.966144995069456280e-01 7.216505438350562240e-02 4.951031183290736243e-02 3.815452835339008808e-01 2.812536179696078498e-01 5.447056020269733789e-01 5.338821890451648233e-01 1.790039475859542262e-01 1.183284016034476666e-01 1.839603418560618597e-01 2.207025574376269006e-01 7.152625582179676922e-01 3.533972835741239216e-01 5.431746417968087437e-01 4.121290911090191300e-01
4.763950256200765732e-01 3.900426212323317432e-01 inf 6.634043953675846650e-01 4.468193393105499567e-01 3.210951815151981137e-01 4.093911343954657611e-01 5.073241227124910546e-01 6.166540595874129282e-01 9.286879800255483097e-01 5.217384227008239339e-01 3.613614432965211454e-01 3.046167417306173686e-01 5.223449488460651935e-01 2.787421577479157753e-01 3.760946976383085505e-01 7.431936333296907948e-01 2.963642218920737315e-01 7.570538569831316567e-01
4.925228170917719250e-01 4.320005888297872021e-01 6.634043953675846650e-01 inf 8.953001634067411230e-01 4.404259250050365226e-01 3.825312561472169470e-01 1.847717052146210515e-01 6.214327362310279046e-01 6.695861069666635412e-01 3.502197591867621251e-01 3.167248228834261270e-01 4.072522802169112888e-01 5.587362788319959472e-01 3.863418800176748324e-01 8.153631687093044755e-01 4.525567140110519082e-01 9.157129664993026719e-01 2.465969414711354224e-01
8.989430340359366722e-01 7.966144995069456280e-01 4.468193393105499567e-01 8.953001634067411230e-01 inf 7.246065301797927072e-01 7.986319291828374300e-01 7.105569937570845873e-01 1.053120522035267514e+00 1.339605662637891603e+00 5.876105335256959217e-01 6.905707122043351909e-01 6.852386793684435151e-01 9.552669927653265614e-01 6.042602279755373562e-01 8.360185462030471359e-02 1.131896844308079686e+00 6.218005056074223935e-01 1.074539944571897943e+00
1.783395955748333928e-01 7.216505438350562240e-02 3.210951815151981137e-01 4.404259250050365226e-01 7.246065301797927072e-01 inf 9.043129868784634262e-02 3.591439885248459696e-01 3.447532296909802119e-01 6.168196067238080893e-01 4.918196242831210374e-01 1.459725563274559546e-01 5.795069349071711728e-02 2.453445984824936810e-01 1.612578821446975508e-01 6.434112410590249187e-01 4.224589204376388296e-01 4.973073762780780838e-01 4.581306481901556982e-01
1.397224525485248892e-01 4.951031183290736243e-02 4.093911343954657611e-01 3.825312561472169470e-01 7.986319291828374300e-01 9.043129868784634262e-02 inf 3.383948165236074224e-01 3.072838584001196804e-01 5.413780540249583106e-01 4.988346357579581669e-01 1.462066392268908943e-01 1.135450738464747478e-01 2.150053819729134119e-01 2.050606796765778173e-01 7.161933532424994420e-01 3.374396594532848015e-01 5.828348981959758923e-01 3.709052590391626603e-01
4.746212190149937671e-01 3.815452835339008808e-01 5.073241227124910546e-01 1.847717052146210515e-01 7.105569937570845873e-01 3.591439885248459696e-01 3.383948165236074224e-01 inf 6.328485120917213269e-01 7.690401605526854256e-01 1.952141189521315878e-01 2.134092195223619148e-01 3.090903332523219360e-01 5.492166336696969742e-01 2.476914063398885368e-01 6.306116437973748878e-01 5.414751992782229628e-01 7.814084012284688852e-01 3.926716596226141887e-01
1.698306142219151715e-01 2.812536179696078498e-01 6.166540595874129282e-01 6.214327362310279046e-01 1.053120522035267514e+00 3.447532296909802119e-01 3.072838584001196804e-01 6.328485120917213269e-01 inf 3.488862226793927879e-01 8.045533961882486151e-01 4.534700051833647771e-01 3.983572439045460767e-01 9.973790475903988872e-02 5.017998075301760563e-01 9.748898507072414343e-01 2.768843780487690864e-01 6.567453840904193818e-01 4.818357623063902473e-01
4.527238673660927137e-01 5.447056020269733789e-01 9.286879800255483097e-01 6.695861069666635412e-01 1.339605662637891603e+00 6.168196067238080893e-01 5.413780540249583106e-01 7.690401605526854256e-01 3.488862226793927879e-01 inf 9.634719022052377069e-01 6.654635781740835254e-01 6.544729244726774642e-01 4.194307814892089259e-01 7.424960405986456013e-01 1.257416626991713304e+00 2.277519217038203869e-01 1.004202953490348493e+00 4.351253996919836053e-01
