inf 6.310582170693314064e-01 4.384956934901582115e-01 3.949763350947818608e-01 1.487552807131866939e-01 2.667705196444364879e-01 4.944212577216002824e-01 2.873177400487163524e-01 6.033450767861687769e-01 7.338739824416264934e-01 4.042505974074666608e-01 3.522194720014650282e-01 3.983102874045041375e-01 6.162252014544763457e-01
6.310582170693314064e-01 inf 5.877626178108555921e-01 7.913959473605239880e-01 6.142720509276726748e-01 3.998528674348973966e-01 2.294912872330979181e-01 4.993491696351477493e-01 5.035780792373275583e-01 2.697612288099474065e-01 8.833996536972826830e-01 7.562162265065293099e-01 1.001705256848467451e+00 3.816153769893672054e-01
4.384956934901582115e-01 5.877626178108555921e-01 inf 8.232736995302180061e-01 5.612706763044844616e-01 2.926615611533619488e-01 6.178786785992833597e-01 1.723137248182760872e-01 8.676759167853776988e-01 8.203159953691341322e-01 8.427206620492577738e-01 2.373856372959053940e-01 5.868798051123459425e-01 3.087788937802010691e-01
3.949763350947818608e-01 7.913959473605239880e-01 8.232736995302180061e-01 inf 2.623897454360424319e-01 5.807343495110366405e-01 5.727351685191894859e-01 6.575676822001036426e-01 4.637900840723263030e-01 7.523903492776966573e-01 1.190028234933956930e-01 7.410644719877279574e-01 6.459731784066641280e-01 9.345548293299789089e-01
1.487552807131866939e-01 6.142720509276726748e-01 5.612706763044844616e-01 2.623897454360424319e-01 inf 3.270757190568643336e-01 4.336911951977761026e-01 3.952602464344263100e-01 4.781704338892610040e-01 6.613997798720545607e-01 3.026595429943731985e-01 5.002280758466043364e-01 5.078325494463954426e-01 6.867273657073124093e-01
2.667705196444364879e-01 3.998528674348973966e-01 2.926615611533619488e-01 5.807343495110366405e-01 3.270757190568643336e-01 inf 3.466000921466362295e-01 1.316370230829953247e-01 5.760243423018903686e-01 5.740078538299496769e-01 6.295123043110200101e-01 3.754784446513179108e-01 6.040850434595083085e-01 3.603091845395233750e-01
4.944212577216002824e-01 2.294912872330979181e-01 6.178786785992833597e-01 5.727351685191894859e-01 4.336911951977761026e-01 3.466000921466362295e-01 inf 4.761995142630613964e-01 2.951495642584187062e-01 2.404849886061412589e-01 6.725622404702027435e-01 7.196636394351969557e-01 8.903911582249436352e-01 5.208203608003900698e-01
2.873177400487163524e-01 4.993491696351477493e-01 1.723137248182760872e-01 6.575676822001036426e-01 3.952602464344263100e-01 1.316370230829953247e-01 4.761995142630613964e-01 inf 7.052632619348504495e-01 6.978669069486741483e-01 6.863650338836553289e-01 2.572329491578064786e-01 5.385220583940826256e-01 3.461575156261472719e-01
6.033450767861687769e-01 5.035780792373275583e-01 8.676759167853776988e-01 4.637900840723263030e-01 4.781704338892610040e-01 5.760243423018903686e-01 2.951495642584187062e-01 7.052632619348504495e-01 inf 3.366797664982320026e-01 5.823992790669823005e-01 9.132669318296533501e-01 9.859850202935557251e-01 8.136866809703067194e-01
7.338739824416264934e-01 2.697612288099474065e-01 8.203159953691341322e-01 7.523903492776966573e-01 6.613997798720545607e-01 5.740078538299496769e-01 2.404849886061412589e-01 6.978669069486741483e-01 3.366797664982320026e-01 inf 8.638087554653837152e-01 9.494703605971602789e-01 1.130658137298435673e+00 6.496473793451656986e-01
4.042505974074666608e-01 8.833996536972826830e-01 8.427206620492577738e-01 1.190028234933956930e-01 3.026595429943731985e-01 6.295123043110200101e-01 6.725622404702027435e-01 6.863650338836553289e-01 5.823992790669823005e-01 8.638087554653837152e-01 inf 7.276877269121765357e-01 5.771385329779510354e-01 9.893812361693012924e-01
3.522194720014650282e-01 7.562162265065293099e-01 2.373856372959053940e-01 7.410644719877279574e-01 5.002280758466043364e-01 3.754784446513179108e-01 7.196636394351969557e-01 2.572329491578064786e-01 9.132669318296533501e-01 9.494703605971602789e-01 7.276877269121765357e-01 inf 3.561245668587331159e-01 5.403598670266239745e-01
3.983102874045041375e-01 1.001705256848467451e+00 5.868798051123459425e-01 6.459731784066641280e-01 5.078325494463954426e-01 6.040850434595083085e-01 8.903911582249436352e-01 5.385220583940826256e-01 9.859850202935557251e-01 1.130658137298435673e+00 5.771385329779510354e-01 3.561245668587331159e-01 inf 8.726958035694766247e-01
6.162252014544763457e-01 3.816153769893672054e-01 3.087788937802010691e-01 9.345548293299789089e-01 6.867273657073124093e-01 3.603091845395233750e-01 5.208203608003900698e-01 3.461575156261472719e-01 8.136866809703067194e-01 6.496473793451656986e-01 9.893812361693012924e-01 5.403598670266239745e-01 8.726958035694766247e-01 inf
