inf 9.164655385354874007e-01 9.537768787662462833e-01 5.121802793851599755e-01 6.827237977243263423e-01 5.284887755589974256e-01 6.120971541164880181e-01 5.993306834858059817e-01 3.724793045864204233e-01 6.374945712176290913e-01 1.371464893444411526e-01 2.817901180598638144e-01 4.947572589294467194e-01
9.164655385354874007e-01 inf 4.793340470505628309e-02 4.347260164434544882e-01 4.224011351313051721e-01 8.110131004923278875e-01 6.165254238874707804e-01 3.946254598034573680e-01 6.956138183710353085e-01 3.869479747169662920e-01 8.095718146192029119e-01 1.161420970984049950e+00 5.990765633397626688e-01
9.537768787662462833e-01 4.793340470505628309e-02 inf 4.634606669261633338e-01 4.298024466097016272e-01 8.587836970621971489e-01 6.254962380237449882e-01 4.148294351056071028e-01 7.197412416707630323e-01 4.024188198619856327e-01 8.496890000248750185e-01 1.202306805569029580e+00 6.463165973851173751e-01
5.121802793851599755e-01 4.347260164434544882e-01 4.634606669261633338e-01 inf 2.124842701926076549e-01 6.332603797494066322e-01 2.936483561799286823e-01 9.890482891418944655e-02 2.667812831328118528e-01 1.425137273273613114e-01 4.355986040580207552e-01 7.825660325859414845e-01 4.276874484681060240e-01
6.827237977243263423e-01 4.224011351313051721e-01 4.298024466097016272e-01 2.124842701926076549e-01 inf 8.430838241682347967e-01 1.958620885660374566e-01 1.178712265385063740e-01 3.474951210215880271e-01 7.775342097750786996e-02 6.294481979822085238e-01 9.625587801022233991e-01 6.319289774560207240e-01
5.284887755589974256e-01 8.110131004923278875e-01 8.587836970621971489e-01 6.332603797494066322e-01 8.430838241682347967e-01 inf 8.971920027557080957e-01 7.253527490660464094e-01 7.215588974633119212e-01 7.675105612867600957e-01 4.090232935907368028e-01 5.756080255601212503e-01 2.214404095293484309e-01
6.120971541164880181e-01 6.165254238874707804e-01 6.254962380237449882e-01 2.936483561799286823e-01 1.958620885660374566e-01 8.971920027557080957e-01 inf 2.492127756302706942e-01 2.399934758049065142e-01 2.369755436001323157e-01 5.987278542378976498e-01 8.919020279742961854e-01 7.082518198270363330e-01
5.993306834858059817e-01 3.946254598034573680e-01 4.148294351056071028e-01 9.890482891418944655e-02 1.178712265385063740e-01 7.253527490660464094e-01 2.492127756302706942e-01 inf 3.071881112175924855e-01 4.369192789424472534e-02 5.310121472838347234e-01 8.741297332270776543e-01 5.142122386266881895e-01
3.724793045864204233e-01 6.956138183710353085e-01 7.197412416707630323e-01 2.667812831328118528e-01 3.474951210215880271e-01 7.215588974633119212e-01 2.399934758049065142e-01 3.071881112175924855e-01 inf 3.303523357344482214e-01 3.729212533672046637e-01 6.519089502670296632e-01 5.674630694766725769e-01
6.374945712176290913e-01 3.869479747169662920e-01 4.024188198619856327e-01 1.425137273273613114e-01 7.775342097750786996e-02 7.675105612867600957e-01 2.369755436001323157e-01 4.369192789424472534e-02 3.303523357344482214e-01 inf 5.727170108919730218e-01 9.138538188613066771e-01 5.549798899243152395e-01
1.371464893444411526e-01 8.095718146192029119e-01 8.496890000248750185e-01 4.355986040580207552e-01 6.294481979822085238e-01 4.090232935907368028e-01 5.987278542378976498e-01 5.310121472838347234e-01 3.729212533672046637e-01 5.727170108919730218e-01 inf 3.535120241204771641e-01 3.576299030502833598e-01
2.817901180598638144e-01 1.161420970984049950e+00 1.202306805569029580e+00 7.825660325859414845e-01 9.625587801022233991e-01 5.756080255601212503e-01 8.919020279742961854e-01 8.741297332270776543e-01 6.519089502670296632e-01 9.138538188613066771e-01 3.535120241204771641e-01 inf 6.457460428617909365e-01
4.947572589294467194e-01 5.990765633397626688e-01 6.463165973851173751e-01 4.276874484681060240e-01 6.319289774560207240e-01 2.214404095293484309e-01 7.082518198270363330e-01 5.142122386266881895e-01 5.674630694766725769e-01 5.549798899243152395e-01 3.576299030502833598e-01 6.457460428617909365e-01 inf
