inf 6.244638927064947165e-01 6.727567655491867304e-01 1.519785496437039696e-01 9.219378710990975279e-01 5.357155912675563014e-01 5.358669091962445785e-01 2.841375217307156587e-01 6.900496656314314414e-01 4.159420758692490838e-01 7.676554225952455512e-01 5.505880417328075094e-01 2.855675122347446360e-01 4.974290652260904833e-01 8.472025141170875795e-01 7.160635584944881060e-01 5.689176781754460288e-01 9.029096010348267587e-01 1.004846604834715551e+00 7.588261383441251562e-01 8.935758980395582807e-01 6.003688833056634033e-01 3.296465514441765943e-01 8.816526571394901479e-01
6.244638927064947165e-01 inf 2.185495792817547522e-01 7.101684980074070008e-01 5.170092627593825263e-01 2.003198182232251989e-01 9.767619200549537695e-02 7.643281797299158464e-01 4.924125920516969068e-01 5.574868786536484322e-01 5.887542402478110892e-01 1.088497746970147478e-01 5.501979872292553919e-01 2.228691914179449229e-01 2.634628240112200093e-01 2.464813381297440431e-01 3.359661539528073226e-01 3.342542729996734741e-01 7.108425797287649672e-01 1.674149967749417600e-01 6.792278424986699648e-01 3.780837263335219967e-01 2.988311405948640975e-01 3.427095314435389395e-01
6.727567655491867304e-01 2.185495792817547522e-01 inf 7.917598997213082246e-01 7.257746380493842464e-01 1.374949605997438373e-01 2.069591291517072218e-01 8.755036237728432980e-01 7.078672050952832251e-01 7.261817849675067382e-01 8.055800839974927019e-01 3.068879044292319724e-01 5.023429516331493483e-01 1.753277818948641986e-01 2.026035174098446967e-01 4.431522936396907475e-02 1.773768734672039049e-01 2.391632126799706493e-01 9.265710162097552383e-01 1.576576314975400295e-01 8.977724393360084765e-01 5.895905537103593996e-01 3.994901971794789231e-01 5.255002735137959125e-01
1.519785496437039696e-01 7.101684980074070008e-01 7.917598997213082246e-01 inf 9.248833427266409668e-01 6.545361664907644039e-01 6.312954608026623005e-01 1.371214243238167430e-01 6.673407257019089434e-01 3.587624981434742732e-01 7.298754645642441252e-01 6.213100113698519777e-01 4.375422681938054281e-01 6.182941340949013043e-01 9.517630670900023571e-01 8.359014393313712876e-01 7.057214334640626863e-01 1.012490568622878007e+00 9.744962950576651073e-01 8.590330274926126775e-01 8.520671717168465387e-01 6.007025924746948187e-01 4.125974006132860361e-01 9.232575427926509315e-01
9.219378710990975279e-01 5.170092627593825263e-01 7.257746380493842464e-01 9.248833427266409668e-01 inf 7.105992841434447538e-01 5.849541828764363016e-01 8.980971895321080423e-01 2.799460899695891958e-01 5.912809297304308931e-01 2.847207665141568977e-01 4.791838029647069730e-01 9.845262027902016433e-01 7.235753686431412035e-01 6.586773112758880222e-01 7.422810330785637456e-01 8.510350472013081813e-01 7.206323735353588056e-01 2.205506992015063283e-01 6.038959520335887010e-01 2.695919576586205402e-01 3.248218848520333379e-01 6.428222714527361825e-01 2.357115407947056596e-01
5.357155912675563014e-01 2.003198182232251989e-01 1.374949605997438373e-01 6.545361664907644039e-01 7.105992841434447538e-01 inf 1.286276535495642359e-01 7.408654580908253795e-01 6.406605414212105387e-01 6.112315928264060449e-01 7.411498433651141360e-01 2.418416275870657328e-01 3.847686611275281665e-01 3.943472682776357624e-02 3.214589631730875863e-01 1.814428577020918976e-01 1.424383334698929304e-01 3.699541355795750719e-01 8.933581632162529429e-01 2.470380758844306079e-01 8.453255549091528431e-01 5.168211924555307091e-01 2.703222280195828886e-01 5.426884365222299778e-01
5.358669091962445785e-01 9.767619200549537695e-02 2.069591291517072218e-01 6.312954608026623005e-01 5.849541828764363016e-01 1.286276535495642359e-01 inf 6.968097748464247010e-01 5.155250013882596294e-01 5.215392137681842399e-01 6.155293207482250839e-01 1.134911252320329467e-01 4.528509960774480536e-01 1.387509361617634274e-01 3.221043031416275237e-01 2.466725823675754714e-01 2.710614624488011937e-01 3.868233809176193638e-01 7.648527483408602556e-01 2.279098290074945687e-01 7.175649853260835931e-01 3.929956536668963718e-01 2.194441660178030329e-01 4.314183764841981739e-01
2.841375217307156587e-01 7.643281797299158464e-01 8.755036237728432980e-01 1.371214243238167430e-01 8.980971895321080423e-01 7.408654580908253795e-01 6.968097748464247010e-01 inf 6.254957832030768605e-01 3.076481341290140392e-01 6.719583056795170872e-01 6.653639532155140035e-01 5.677107800379862512e-01 7.074660901307643357e-01 1.018544140217095384e+00 9.197859562920462917e-01 8.095721295969189324e-01 1.083481767003319884e+00 9.171044831427859201e-01 9.231205394392336672e-01 7.874207599371659816e-01 5.831639211166240733e-01 4.794848916238650394e-01 9.314645914377006619e-01
6.900496656314314414e-01 4.924125920516969068e-01 7.078672050952832251e-01 6.673407257019089434e-01 2.799460899695891958e-01 6.406605414212105387e-01 5.155250013882596294e-01 6.254957832030768605e-01 inf 3.180423252272301382e-01 1.008242371991720648e-01 4.040047577420995406e-01 8.138578350155801777e-01 6.381172374431623995e-01 7.204392631550442516e-01 7.386546659883458377e-01 7.802691939522476972e-01 7.919597914166678354e-01 3.150712865182597744e-01 6.377378002604962015e-01 2.179989270921735833e-01 1.249630953351669599e-01 4.730637051653830416e-01 4.008085648198235762e-01
4.159420758692490838e-01 5.574868786536484322e-01 7.261817849675067382e-01 3.587624981434742732e-01 5.912809297304308931e-01 6.112315928264060449e-01 5.215392137681842399e-01 3.076481341290140392e-01 3.180423252272301382e-01 inf 3.718003850585872017e-01 4.487936772616833436e-01 6.188249460918234801e-01 5.896312337466226294e-01 8.207849098079560424e-01 7.675357446727955057e-01 7.234540326679894662e-01 8.917298155879893606e-01 6.171423932156561154e-01 7.249004327466538333e-01 4.933093556078763098e-01 2.847072585962777125e-01 3.515253115923114846e-01 6.460887841765815542e-01
