inf 3.562049459047616495e-01 1.033193051300408172e+00 7.604293493919157543e-01 9.598571144300044322e-01 7.635459492242202550e-01 7.643114169902945898e-01 5.262513893892840633e-01 5.292804721439048343e-01 7.365364118457171649e-01 8.708703895355953684e-01 1.312244056053870067e-01 4.354210690118506810e-01 3.875492329185777907e-01 7.521910874654036405e-01 6.060349240744760113e-01 7.804666701356620662e-01 8.841564214314898695e-01 8.672372356904726187e-01 7.859142187219858577e-01 1.920801821458565373e-01 7.902746254088359734e-01 8.501609737817885648e-01 7.610012807131675272e-01 8.414266398743126540e-01 6.862451014093281509e-01 7.213814682210298868e-01 9.971189249921720288e-01 8.015885942965716993e-01 8.516056426291787051e-01
3.562049459047616495e-01 inf 6.796980252433270087e-01 6.166461035466745955e-01 6.080959599506723379e-01 5.983579978489079743e-01 4.303021022222972558e-01 5.186087894706827850e-01 2.073096485686509172e-01 6.913172413232389069e-01 5.480801564710282570e-01 2.250211437191244057e-01 1.650056477937820454e-01 1.331358480819733736e-01 3.965643620887298604e-01 5.439176056709287277e-01 5.700646159468162333e-01 5.338010207374761507e-01 5.789448223816772154e-01 4.495066985248982183e-01 4.174468234913698006e-01 5.171492931312502428e-01 5.155210888621961640e-01 4.084171727613981617e-01 7.762744527231723035e-01 4.130636026049846476e-01 4.594938570787187038e-01 7.589505683677015835e-01 4.498098725043737645e-01 7.768646555955701638e-01
1.033193051300408172e+00 6.796980252433270087e-01 inf 7.632738550983459991e-01 7.763666709333233440e-02 7.175699013105881763e-01 3.050050902102883210e-01 9.240705979810738269e-01 5.704542644267451834e-01 9.570712897435906807e-01 2.791452851439679694e-01 9.030446973668024846e-01 6.243753476220349485e-01 7.046924061513563098e-01 3.073495842233068265e-01 8.668198547377569119e-01 6.179979293655313288e-01 1.539939564254429460e-01 4.064764418235294330e-01 3.995025488175396045e-01 1.046488703705633405e+00 6.152470946855486122e-01 3.894840906829247773e-01 2.722182269386670961e-01 9.721672849132395600e-01 4.864949029894834465e-01 6.386408085211660035e-01 5.971561999695753631e-01 2.321752717645011177e-01 9.565645775891161717e-01
7.604293493919157543e-01 6.166461035466745955e-01 7.632738550983459991e-01 inf 6.962096647090109114e-01 4.604498500620869683e-02 4.980395298100313561e-01 2.914522152906822150e-01 7.484293615132694422e-01 2.026043723709613220e-01 4.841588763779475779e-01 6.920752118146993315e-01 4.539670726598160067e-01 7.471009563685085952e-01 7.045810517341377643e-01 1.910257886869397015e-01 1.466356554256355582e-01 6.409315420037740019e-01 3.649688218703645015e-01 8.590880137420262574e-01 6.288817390199713531e-01 1.036612977196255780e+00 9.101652945349181234e-01 6.088238089857207491e-01 2.117650441834353081e-01 3.100701424879230284e-01 1.002328720694805719e+00 3.106800471199507863e-01 6.164792549688785650e-01 1.994942838524178530e-01
9.598571144300044322e-01 6.080959599506723379e-01 7.763666709333233440e-02 6.962096647090109114e-01 inf 6.508894917532532798e-01 2.278353978281378034e-01 8.483172034162418385e-01 5.112411484059034006e-01 8.871849859380703807e-01 2.149325892603653754e-01 8.302340151114654399e-01 5.475446560662735607e-01 6.403995391982046925e-01 2.513947569062665588e-01 7.930862249327923497e-01 5.524430034692739966e-01 7.694603334294267127e-02 3.473000840922994548e-01 3.679990248567643341e-01 9.696409738554280233e-01 5.908138114697654153e-01 3.706707464948451047e-01 1.996879583228586830e-01 9.065481208272415659e-01 4.122379089600465285e-01 6.061896684304302063e-01 5.518054534336518380e-01 1.584129119380970341e-01 8.917209031036369415e-01
7.635459492242202550e-01 5.983579978489079743e-01 7.175699013105881763e-01 4.604498500620869683e-02 6.508894917532532798e-01 inf 4.552873708085243831e-01 3.179624923492029298e-01 7.204009220811732339e-01 2.477889148637979766e-01 4.384286028716252726e-01 6.882209854192485876e-01 4.339829298224953669e-01 7.268967907119595617e-01 6.653201726894582002e-01 2.199613921604753053e-01 1.005913456463917166e-01 5.964498206231578781e-01 3.189574736338127714e-01 8.215437922534930548e-01 6.414012713862954351e-01 1.003351653387772879e+00 8.713517639045772478e-01 5.676816841799938729e-01 2.560661946013885748e-01 2.701565914814862412e-01 9.711115642947466542e-01 2.772201027223466507e-01 5.739923538738344044e-01 2.425885279156314855e-01
7.643114169902945898e-01 4.303021022222972558e-01 3.050050902102883210e-01 4.980395298100313561e-01 2.278353978281378034e-01 4.552873708085243831e-01 inf 6.221457123512702525e-01 4.056034016348284421e-01 6.769005097776953361e-01 1.240163715503298375e-01 6.393124651187166441e-01 3.346749459224271361e-01 4.995523832581783563e-01 2.295993544374420881e-01 5.719943313189022049e-01 3.650106230813044417e-01 1.560471323048539249e-01 2.149785409364795008e-01 3.932403171188014190e-01 7.529368562857911007e-01 6.047403795233081691e-01 4.317389098149747029e-01 1.203608495093628078e-01 7.095494885879789493e-01 1.938582403034697366e-01 5.932181193307884959e-01 4.420474514831935764e-01 1.188647061208176203e-01 6.974431001892695825e-01
5.262513893892840633e-01 5.186087894706827850e-01 9.240705979810738269e-01 2.914522152906822150e-01 8.483172034162418385e-01 3.179624923492029298e-01 6.221457123512702525e-01 inf 7.064143003348464234e-01 2.103128851466777582e-01 6.628021281110227925e-01 4.970243749580988135e-01 3.978975951871719929e-01 6.479321025424024105e-01 7.672819571853702891e-01 1.008398527987827420e-01 3.891925041136299335e-01 7.781908085769246863e-01 5.794870703593015815e-01 8.928810220268069697e-01 3.623969346346647691e-01 1.020181121803817925e+00 9.545791660239387744e-01 7.012217497632885488e-01 3.158036464789240605e-01 4.394562019944049935e-01 9.696709385662448666e-01 5.946604804850533776e-01 7.249271703375887999e-01 3.273708094190905249e-01
5.292804721439048343e-01 2.073096485686509172e-01 5.704542644267451834e-01 7.484293615132694422e-01 5.112411484059034006e-01 7.204009220811732339e-01 4.056034016348284421e-01 7.064143003348464234e-01 inf 8.585481600484856646e-01 5.287307007959451965e-01 4.031831539522383046e-01 3.133193716360858083e-01 1.470384516672829101e-01 2.631874549056243962e-01 7.151118919912231586e-01 6.667507836357046136e-01 4.486959258447776877e-01 6.046735825514518714e-01 2.567829982600786098e-01 6.203972119549716613e-01 3.146812196637950865e-01 3.209005662104800205e-01 3.279997026835825835e-01 9.321185347559312051e-01 4.798590234964557055e-01 2.638586695338208110e-01 8.177346470488729979e-01 3.676108787134336198e-01 9.289703501143423692e-01
7.365364118457171649e-01 6.913172413232389069e-01 9.570712897435906807e-01 2.026043723709613220e-01 8.871849859380703807e-01 2.477889148637979766e-01 6.769005097776953361e-01 2.103128851466777582e-01 8.585481600484856646e-01 inf 6.792130524132964364e-01 7.019607775090676016e-01 5.459914930081258833e-01 8.241956021413260336e-01 8.642926290651055110e-01 1.477559325734631446e-01 3.473677955607529788e-01 8.269397237139315404e-01 5.654956922363137961e-01 1.008739938021877114e+00 5.697571939021471854e-01 1.164329089808115336e+00 1.065155088520074012e+00 7.785784158210121708e-01 1.066382326273354469e-01 4.831626181682200927e-01 1.121239914706745777e+00 4.986134952587427671e-01 7.924057995821175426e-01 1.213606121336255894e-01
8.708703895355953684e-01 5.480801564710282570e-01 2.791452851439679694e-01 4.841588763779475779e-01 2.149325892603653754e-01 4.384286028716252726e-01 1.240163715503298375e-01 6.628021281110227925e-01 5.287307007959451965e-01 6.792130524132964364e-01 inf 7.494713724516278708e-01 4.358322399593102525e-01 6.229113747693554304e-01 3.289282110362194977e-01 5.966018206433528759e-01 3.389285823069866366e-01 1.752143227475261023e-01 1.342361811713120578e-01 4.884890985881608083e-01 8.415717077972700855e-01 7.084779243368771739e-01 5.162920406772918414e-01 2.207287110993750856e-01 6.931822811883819879e-01 2.255735733996532266e-01 7.036802999389503155e-01 3.533663579788631770e-01 1.977280232855568309e-01 6.778368852180078896e-01
