inf 5.620796694149821082e-01 2.729904665448376067e-01 9.392379601979150561e-01 6.892067943017448073e-01 6.674674593126631583e-01 1.003170450332766306e+00 9.088136106806739001e-01 9.409975149087823620e-01 9.323622640347766222e-01 1.642682540393490265e-01 2.066058593941766663e-01 6.217640693908971228e-01 9.928676572216736940e-01 3.661219618044109225e-01 4.406276453202611076e-01 9.137574726325689012e-01 7.853229961885477284e-01
5.620796694149821082e-01 inf 4.353026796345502158e-01 7.654370111456768599e-01 9.429140885472443445e-01 2.074456181469180038e-01 7.055553264488911847e-01 8.060774330153996914e-01 9.837122218897914605e-01 1.134338540610741797e+00 4.079092674189107037e-01 7.178963359976718861e-01 6.104756491143422531e-02 6.780312883729912032e-01 2.052751360283505133e-01 4.783817181047422817e-01 8.483519498183649254e-01 7.909700974369446858e-01
2.729904665448376067e-01 4.353026796345502158e-01 inf 6.679986741843453313e-01 5.464938854665700729e-01 4.604971939918713342e-01 7.322789533466510514e-01 6.444536043235741252e-01 7.120279314921551528e-01 7.701934949914361894e-01 1.595765941911635177e-01 3.227407642753936656e-01 4.830019051159205601e-01 7.235882803172892785e-01 2.419455030236474236e-01 1.719355595221493116e-01 6.558392435174109636e-01 5.383211664915783512e-01
9.392379601979150561e-01 7.654370111456768599e-01 6.679986741843453313e-01 inf 6.371436428918622052e-01 5.803476668026820162e-01 2.053861351035606853e-01 1.112907326293187810e-01 3.696141291647104810e-01 6.554002806082998012e-01 8.150544607192385937e-01 9.183723203990912243e-01 7.556811529529232629e-01 2.337941557829255057e-01 7.387211854053307158e-01 4.987001753752963729e-01 1.733254372517508968e-01 2.730080465275247503e-01
6.892067943017448073e-01 9.429140885472443445e-01 5.464938854665700729e-01 6.371436428918622052e-01 inf 8.767686222200786750e-01 8.207235335385701935e-01 5.370452170116203350e-01 3.767605009303520158e-01 2.443445727690846114e-01 6.807901581072997033e-01 5.337542500798755363e-01 9.755473225362308876e-01 8.369136392542922964e-01 7.778700346246566477e-01 4.657193068312419637e-01 4.928970534980794960e-01 3.642533015630919913e-01
6.674674593126631583e-01 2.074456181469180038e-01 4.604971939918713342e-01 5.803476668026820162e-01 8.767686222200786750e-01 inf 5.007730659116950145e-01 6.364751375760866470e-01 8.436145722623188403e-01 1.035706727231029411e+00 5.032021314788137634e-01 7.795452228514250237e-01 1.799868671134652598e-01 4.721039590482689619e-01 3.112678885722315325e-01 4.244597472211102951e-01 6.860773187407092077e-01 6.553557851660982703e-01
1.003170450332766306e+00 7.055553264488911847e-01 7.322789533466510514e-01 2.053861351035606853e-01 8.207235335385701935e-01 5.007730659116950145e-01 inf 3.161554563678736773e-01 5.749712276445821946e-01 8.589480417135632040e-01 8.584795886382499130e-01 1.022197511050375818e+00 6.801943892839924510e-01 3.620324977219245566e-02 7.354175590865186241e-01 5.805367238338173808e-01 3.786812527551561836e-01 4.632069460454249499e-01
9.088136106806739001e-01 8.060774330153996914e-01 6.444536043235741252e-01 1.112907326293187810e-01 5.370452170116203350e-01 6.364751375760866470e-01 3.161554563678736773e-01 inf 2.599031933644936343e-01 5.441833362493189163e-01 7.991434071967403741e-01 8.647988725456199344e-01 8.042387635207911556e-01 3.432181372558055776e-01 7.509498522455755332e-01 4.725433682536883118e-01 6.341617607967672821e-02 1.752791550751914562e-01
9.409975149087823620e-01 9.837122218897914605e-01 7.120279314921551528e-01 3.696141291647104810e-01 3.767605009303520158e-01 8.436145722623188403e-01 5.749712276445821946e-01 2.599031933644936343e-01 inf 2.983639845440884675e-01 8.710072773638856125e-01 8.404285168670491135e-01 9.943972267768682594e-01 6.029328940560244599e-01 8.822111061956461331e-01 5.566308782287635593e-01 1.966392308755668672e-01 1.928070054999563021e-01
9.323622640347766222e-01 1.134338540610741797e+00 7.701934949914361894e-01 6.554002806082998012e-01 2.443445727690846114e-01 1.035706727231029411e+00 8.589480417135632040e-01 5.441833362493189163e-01 2.983639845440884675e-01 inf 9.138592796538681506e-01 7.770850294651507895e-01 1.158917954427894470e+00 8.835666591912552104e-01 9.886731423843684308e-01 6.598730556372069955e-01 4.839988845761063474e-01 4.108572088200010408e-01
1.642682540393490265e-01 4.079092674189107037e-01 1.595765941911635177e-01 8.150544607192385937e-01 6.807901581072997033e-01 5.032021314788137634e-01 8.584795886382499130e-01 7.991434071967403741e-01 8.710072773638856125e-01 9.138592796538681506e-01 inf 3.142616350463342534e-01 4.658831963009795740e-01 8.453876199219633181e-01 2.057680908272347120e-01 3.280000033290735306e-01 8.133189086479913898e-01 6.978017281177174569e-01
2.066058593941766663e-01 7.178963359976718861e-01 3.227407642753936656e-01 9.183723203990912243e-01 5.337542500798755363e-01 7.795452228514250237e-01 1.022197511050375818e+00 8.647988725456199344e-01 8.404285168670491135e-01 7.770850294651507895e-01 3.142616350463342534e-01 inf 7.736424608931007363e-01 1.019133174973500200e+00 5.127356434185179612e-01 4.427348696446645193e-01 8.554142262323480850e-01 7.149030069556236988e-01
6.217640693908971228e-01 6.104756491143422531e-02 4.830019051159205601e-01 7.556811529529232629e-01 9.755473225362308876e-01 1.799868671134652598e-01 6.801943892839924510e-01 8.042387635207911556e-01 9.943972267768682594e-01 1.158917954427894470e+00 4.658831963009795740e-01 7.736424608931007363e-01 inf 6.508523694962868866e-01 2.612776268206394858e-01 5.098319550917694842e-01 8.498857190385383786e-01 8.024339870735931468e-01
