inf 2.742190097502210100e-01 7.090401600756411904e-01 7.109022510672208250e-01 6.292948462011771493e-01 1.406802850485657785e-01 5.696784195710293819e-01 4.954085304702444126e-01 8.941152168789324728e-01 1.535345074257964959e-01 4.367923316106503973e-01 5.406284494106309291e-01 5.511089433172821073e-01 3.615495380768866673e-01 5.075706590281583441e-01 6.558904441996229462e-01 4.650422020266665735e-01 3.285572245993906293e-01 2.707869775013150293e-01 3.042704605098395798e-01 4.210135927811085588e-01 3.147496588524344996e-01 6.403405376745424649e-01
2.742190097502210100e-01 inf 5.917307119133685678e-01 4.531189176381853478e-01 6.879378681671292073e-01 3.428754127265041807e-01 4.219116188399071321e-01 4.865011085342694219e-01 8.706551767196804015e-01 2.088748245871195341e-01 6.711129888374340879e-01 5.235093818940420585e-01 3.274514160683166808e-01 2.345604376791714241e-01 5.613683567052014656e-01 4.096781189239128151e-01 5.018840903224225380e-01 5.224098619756926132e-01 1.793173659281530885e-01 5.568588216668831636e-01 5.883172378041369166e-01 9.103143387192436098e-02 3.832299390958839314e-01
7.090401600756411904e-01 5.917307119133685678e-01 inf 4.669673779223792454e-01 4.226250396972565104e-01 6.341256646899524618e-01 1.736431785037097497e-01 2.819606187535861896e-01 3.569758229302556485e-01 5.562656640744035874e-01 8.077209422769312530e-01 2.526302385189613253e-01 3.426713451827195778e-01 3.678635320557771538e-01 3.890943312254719344e-01 4.014377195591017355e-01 3.620194313822707732e-01 6.474777959295274776e-01 7.701780942469343971e-01 7.926315767801489498e-01 6.161097187371701311e-01 5.010150875363431622e-01 4.508192662717234178e-01
7.109022510672208250e-01 4.531189176381853478e-01 4.669673779223792454e-01 inf 8.147139371955522957e-01 7.277452031483639949e-01 3.490627668003617456e-01 5.996652901683898751e-01 8.239338382525696058e-01 5.887324412507344285e-01 1.024091024900669611e+00 6.055109791411645848e-01 1.949933056683763599e-01 4.112173103238158656e-01 7.235099239138196303e-01 7.661035802561666497e-02 6.675944445990080744e-01 8.528897388889278286e-01 5.943465176172486597e-01 9.443403699398493778e-01 8.763062418516470720e-01 3.961562247404184500e-01 7.060649008988391373e-02
6.292948462011771493e-01 6.879378681671292073e-01 4.226250396972565104e-01 8.147139371955522957e-01 inf 4.961745378115313132e-01 4.673566289616786773e-01 2.226751617374651548e-01 3.225107739031165544e-01 5.237336376124520632e-01 4.831161085333239846e-01 2.092793525398399523e-01 6.320878557862681379e-01 4.833006293515529350e-01 1.279076336232061462e-01 7.386010295891891619e-01 1.860560576131126964e-01 3.797232869618731299e-01 8.262381015389413941e-01 5.354291755714799539e-01 2.960939649808939644e-01 6.232961584425772417e-01 7.712952972750607428e-01
1.406802850485657785e-01 3.428754127265041807e-01 6.341256646899524618e-01 7.277452031483639949e-01 4.961745378115313132e-01 inf 5.192522205078230479e-01 3.886580309400965993e-01 7.765808895391328459e-01 1.429063709883236777e-01 3.284607515842911662e-01 4.336434738673542455e-01 5.471127585796518034e-01 3.317441361469266048e-01 3.791976275848487066e-01 6.630778524698085485e-01 3.440835116177451969e-01 1.939536094934772026e-01 3.947788329248443917e-01 2.196817031524349872e-01 2.818674917797398538e-01 3.471406051013692928e-01 6.591642682122452745e-01
5.696784195710293819e-01 4.219116188399071321e-01 1.736431785037097497e-01 3.490627668003617456e-01 4.673566289616786773e-01 5.192522205078230479e-01 inf 2.607367382125470034e-01 5.049036377883341364e-01 4.167349686349767768e-01 7.505949726842686687e-01 2.592611189027767549e-01 1.840386904215430830e-01 2.109538442389324031e-01 3.866035618412712593e-01 2.740928075880009751e-01 3.371544660517736824e-01 5.797729965400646446e-01 6.011287035887619146e-01 7.066712056818520438e-01 5.753055052807325431e-01 3.308811632730588315e-01 3.132156190432539566e-01
4.954085304702444126e-01 4.865011085342694219e-01 2.819606187535861896e-01 5.996652901683898751e-01 2.226751617374651548e-01 3.886580309400965993e-01 2.607367382125470034e-01 inf 4.017368007750507508e-01 3.589976490312150603e-01 5.257604557096227094e-01 4.534183541834497372e-02 4.122605924353641149e-01 2.662506113534283125e-01 1.258749291837514828e-01 5.230842844146680326e-01 8.175239737211470459e-02 3.674539428364288485e-01 6.421425984764667083e-01 5.174163597100240874e-01 3.351650286529047618e-01 4.127464436797417258e-01 5.523145939780838010e-01
8.941152168789324728e-01 8.706551767196804015e-01 3.569758229302556485e-01 8.239338382525696058e-01 3.225107739031165544e-01 7.765808895391328459e-01 5.049036377883341364e-01 4.017368007750507508e-01 inf 7.607340905779286233e-01 8.055721184372965915e-01 3.578806924305873438e-01 6.878284217089157826e-01 6.369905557413554353e-01 4.043705732552742016e-01 7.577772361926216060e-01 4.324996609521837843e-01 6.943744160325836523e-01 1.036715081558160501e+00 8.522813230593506706e-01 6.171813002425421413e-01 7.871554836537554278e-01 8.058343909103606872e-01
1.535345074257964959e-01 2.088748245871195341e-01 5.562656640744035874e-01 5.887324412507344285e-01 5.237336376124520632e-01 1.429063709883236777e-01 4.167349686349767768e-01 3.589976490312150603e-01 7.607340905779286233e-01 inf 4.661239774356474297e-01 4.031461940807238853e-01 4.142967416364489175e-01 2.110246920209062904e-01 3.964337638065039693e-01 5.266885730127571774e-01 3.445451447021449787e-01 3.135610138662105473e-01 3.054144281564634134e-01 3.625731044244706602e-01 3.819202733579356024e-01 2.042443147803534031e-01 5.193872920952853356e-01
