inf 8.607723141983728565e-01 6.429185390771847697e-01 2.542687048148770668e-01 4.417342837191446381e-01 1.001097437160393122e+00 1.193248451134207716e-01 5.761449300679651886e-01 1.141502407915948369e+00 6.889274234876421321e-01 3.995649467293672097e-01
8.607723141983728565e-01 inf 3.319196817855411541e-01 7.423829107137007721e-01 4.531106824355396467e-01 1.425191223324986101e-01 7.963289302291587379e-01 3.914847294983012094e-01 3.706937474869824167e-01 3.306977897711468328e-01 7.103898983060277228e-01
6.429185390771847697e-01 3.319196817855411541e-01 inf 4.587340522540260257e-01 2.035246334070558993e-01 4.361209767633522083e-01 6.192299922199061557e-01 7.235761825993786145e-02 5.049593489015502534e-01 4.632223495401359137e-01 3.932162386739501136e-01
2.542687048148770668e-01 7.423829107137007721e-01 4.587340522540260257e-01 inf 2.893212496310124671e-01 8.717278950008015004e-01 3.130592229982491759e-01 3.864793760496747499e-01 9.621924427152362957e-01 6.724216330346328707e-01 1.453133149772750377e-01
4.417342837191446381e-01 4.531106824355396467e-01 2.035246334070558993e-01 2.893212496310124671e-01 inf 5.841100903078082496e-01 4.162504832107210562e-01 1.441986325125507451e-01 7.002257145606305411e-01 4.301426800521747640e-01 2.821894252007531301e-01
1.001097437160393122e+00 1.425191223324986101e-01 4.361209767633522083e-01 8.717278950008015004e-01 5.841100903078082496e-01 inf 9.385666230700370205e-01 5.033865602647716875e-01 2.716706644537168480e-01 4.517825755174512681e-01 8.270353923889707248e-01
1.193248451134207716e-01 7.963289302291587379e-01 6.192299922199061557e-01 3.130592229982491759e-01 4.162504832107210562e-01 9.385666230700370205e-01 inf 5.591952416100450796e-01 1.102228903944524774e+00 5.921136911400256553e-01 4.522833785547843988e-01
5.761449300679651886e-01 3.914847294983012094e-01 7.235761825993786145e-02 3.864793760496747499e-01 1.441986325125507451e-01 5.033865602647716875e-01 5.591952416100450796e-01 inf 5.765006367704785806e-01 4.768232276302286632e-01 3.237719916478524751e-01
1.141502407915948369e+00 3.706937474869824167e-01 5.049593489015502534e-01 9.621924427152362957e-01 7.002257145606305411e-01 2.716706644537168480e-01 1.102228903944524774e+00 5.765006367704785806e-01 inf 7.013866312222789556e-01 8.789029871637491498e-01
6.889274234876421321e-01 3.306977897711468328e-01 4.632223495401359137e-01 6.724216330346328707e-01 4.301426800521747640e-01 4.517825755174512681e-01 5.921136911400256553e-01 4.768232276302286632e-01 7.013866312222789556e-01 inf 7.078812609349487417e-01
3.995649467293672097e-01 7.103898983060277228e-01 3.932162386739501136e-01 1.453133149772750377e-01 2.821894252007531301e-01 8.270353923889707248e-01 4.522833785547843988e-01 3.237719916478524751e-01 8.789029871637491498e-01 7.078812609349487417e-01 inf
